id,name,url,category,source,notes
1,LangChain,https://www.langchain.com,framework,well-known,Agent orchestration framework
2,LlamaIndex,https://www.llamaindex.ai,framework,well-known,RAG / agent framework
3,CrewAI,https://www.crewai.com,framework,well-known,Multi-agent orchestration
4,AutoGen (Microsoft),https://microsoft.github.io/autogen,framework,well-known,Multi-agent conversation
5,SuperAGI,https://superagi.com,framework,well-known,Open-source autonomous agent
6,AgentGPT,https://agentgpt.reworkd.ai,product,well-known,Browser-based autonomous agent
7,Devin (Cognition),https://www.cognition.ai,product,well-known,Autonomous software engineer
8,Lindy,https://www.lindy.ai,product,well-known,Personal AI assistants
9,MultiOn,https://www.multion.ai,product,well-known,Web-action agents
10,Adept,https://www.adept.ai,product,well-known,Action transformer
11,Fixie,https://www.fixie.ai,platform,well-known,Agent platform
12,Voiceflow,https://www.voiceflow.com,platform,well-known,Conversation agents
13,Stack AI,https://www.stack-ai.com,platform,well-known,No-code agents
14,Vellum,https://www.vellum.ai,platform,well-known,Agent dev platform
15,Dify,https://dify.ai,platform,well-known,Open-source LLM app platform
16,n8n,https://n8n.io,platform,well-known,Workflow automation w/ AI
17,Composio,https://composio.dev,tools,well-known,Tool integration for agents
18,E2B,https://e2b.dev,infra,well-known,Code interpreter sandbox
19,Modal,https://modal.com,infra,well-known,Compute for agents
20,Mem0,https://mem0.ai,memory,well-known,Memory layer for agents
21,Letta,https://www.letta.com,memory,well-known,Stateful agents (was MemGPT)
22,Zep,https://www.getzep.com,memory,well-known,Long-term memory
23,Helicone,https://www.helicone.ai,observability,well-known,LLM observability
24,LangSmith,https://smith.langchain.com,observability,well-known,Agent tracing
25,AgentOps,https://www.agentops.ai,observability,well-known,Agent monitoring
26,Browser Use,https://browser-use.com,tools,well-known,Browser-driving agents
27,Open Interpreter,https://www.openinterpreter.com,product,well-known,Local code execution agent
28,Aider,https://aider.chat,product,well-known,AI pair programmer
29,Cursor,https://www.cursor.com,product,well-known,AI code editor
30,Replit Agent,https://replit.com,product,well-known,Build apps via agent
31,Moltbook,https://moltbook.com,community,prior-research,Social network for AI agents
32,Agentic.Market,https://agentic.market,marketplace,prior-research,x402 service marketplace
