id,name,url,category,total_score,tier,check1_passed,check1_points,check2_passed,check2_points,check3_passed,check3_points,check4_passed,check4_points,check5_passed,check5_points,check6_passed,check6_points,check7_passed,check7_points,check8_passed,check8_points,check9_passed,check9_points,check10_passed,check10_points,error
1,LangChain,https://www.langchain.com,framework,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
2,LlamaIndex,https://www.llamaindex.ai,framework,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
3,CrewAI,https://www.crewai.com,framework,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
4,AutoGen (Microsoft),https://microsoft.github.io/autogen,framework,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
5,SuperAGI,https://superagi.com,framework,20,Mostly invisible,Y,10,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
6,AgentGPT,https://agentgpt.reworkd.ai,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
7,Devin (Cognition),https://www.cognition.ai,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
8,Lindy,https://www.lindy.ai,product,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
9,MultiOn,https://www.multion.ai,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
10,Adept,https://www.adept.ai,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
11,Fixie,https://www.fixie.ai,platform,20,Mostly invisible,Y,10,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
12,Voiceflow,https://www.voiceflow.com,platform,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
13,Stack AI,https://www.stack-ai.com,platform,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
14,Vellum,https://www.vellum.ai,platform,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
15,Dify,https://dify.ai,platform,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
16,n8n,https://n8n.io,platform,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
17,Composio,https://composio.dev,tools,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
18,E2B,https://e2b.dev,infra,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
19,Modal,https://modal.com,infra,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
20,Mem0,https://mem0.ai,memory,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
21,Letta,https://www.letta.com,memory,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
22,Zep,https://www.getzep.com,memory,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
23,Helicone,https://www.helicone.ai,observability,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
24,LangSmith,https://smith.langchain.com,observability,20,Mostly invisible,Y,10,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
25,AgentOps,https://www.agentops.ai,observability,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
